pos,Mean_peakvalue,Mean_peakwidth,Mean_widthhight,Mean_widthleft,Mean_widthright
2410,-0.056773119093464046,74.06065635556206,-0.055079615554901935,2374.939343644438,2449.0
2449,0.05507961555490193,64.72784459259356,-0.05677311909346405,2410.0,2474.7278445925936
2550,-0.8425078359535946,611.3404004893546,-0.7044306486849673,2329.6595995106454,2941.0
2633,-0.10125243010261437,109.378604481009,-0.6294193904535947,2585.621395518991,2695.0
2695,-0.6294193904535947,113.99998752315787,0.10125243010261431,2633.0,2746.999987523158
2773,0.0697342238732026,263.5791897816239,-0.7151190021993463,2577.420810218376,2841.0
2841,-0.7151190021993463,124.35322823519073,-0.0697342238732026,2773.0,2897.3532282351907
2941,0.7044306486849673,952.6099273647806,-0.8425078359535946,2550.0,3502.6099273647806
3022,-0.38596013848562083,392.4350980445756,-0.6296450239699347,2952.5649019554244,3345.0
3113,0.33517000601503266,186.52003598878673,-0.3083244322098039,3041.4799640112133,3228.0
3228,-0.3083244322098039,196.38001489210046,-0.33517000601503266,3113.0,3309.3800148921005
3345,0.6296450239699346,412.22340525188247,-0.38596013848562094,3022.0,3434.2234052518825
3543,-1.0110081974333336,2111.5634789494043,-1.552743253732252,2117.0,4228.563478949404
3619,-0.2923261779379084,111.121885759203,-0.848809870224183,3575.878114240797,3687.0
3687,-0.848809870224183,115.34574388141345,0.2923261779379084,3619.0,3734.3457438814135
3779,0.4226529326274509,211.65902000019696,-0.5667397125379086,3721.340979999803,3933.0
3933,-0.5667397125379084,231.58951259939204,-0.42265293262745096,3779.0,4010.589512599392
4026,0.5430513879163397,157.9411806745493,-0.4580841002248366,3957.0588193254507,4115.0
4115,-0.4580841002248366,164.00325845433326,-0.5430513879163397,4026.0,4190.003258454333
4261,1.8132279405862743,550.7585260763053,-0.5051774735437908,3951.2414739236947,4502.0
4377,-0.07781702101045752,90.56845362750573,-0.20433399831633986,4339.431546372494,4430.0
4430,0.20433399831633986,84.73468682451039,-0.07781702101045751,4377.0,4461.73468682451
4502,-0.5051774735437908,467.90821656268145,-1.8132279405862743,4261.0,4728.908216562681
4586,1.014583735490196,124.04046531441782,-0.1972480454039216,4536.959534685582,4661.0
4661,-0.19724804540392155,128.9919260572915,-1.014583735490196,4586.0,4714.9919260572915
4754,2.8122414406000007,2988.243452660867,-0.8503674824862744,3575.756547339133,6564.0
4858,-0.4240713101339868,279.0552239477356,-1.5807660817503268,4782.944776052178,5061.999999999914
5062,1.580766081750327,560.3062137233264,-0.4240713101339866,4858.000000000002,5418.306213723328
5153,-0.29154542119999993,83.74565174827785,0.10811302901895425,5124.254348251722,5208.0
